,doi
0,https://doi.org/10.1038/s41598-024-52972-x
1,https://doi.org/10.1177/11786221241274019
2,https://doi.org/10.1016/j.agwat.2006.03.019
3,https://doi.org/10.1016/j.agwat.2009.08.011
4,https://doi.org/10.1093/jxb/erv034
5,https://doi.org/10.1016/j.eja.2010.05.006
6,https://doi.org/10.31893/multirev.2024074
7,https://doi.org/10.1029/2021EF002567
8,https://doi.org/10.2134/practicalmath2017.0030
9,https://doi.org/10.1016/J.AGWAT.2009.06.004
10,https://doi.org/10.1016/j.agwat.2015.12.023
11,https://doi.org/10.5897/ajps2018.1697
12,https://doi.org/10.3390/su151310503
13,https://doi.org/10.2174/1874331502014010009
14,http://dx.doi.org/10.13031/2013.21351
15,http://dx.doi.org/10.13031/2013.17309
16,http://dx.doi.org/10.1007/s00271-003-0085-3
17,http://dx.doi.org/10.1016/j.agwat.2017.01.008
18,http://dx.doi.org/10.13031/2013.21322
19,http://dx.doi.org/10.13031/2013.21354
20,http://dx.doi.org/10.2134/jpa1998.0371
21,http://dx.doi.org/10.1007/s00271-003-0077-3
22,http://dx.doi.org/10.13031/2013.31025
23,http://dx.doi.org/10.1016/S0167-1987(02)00025-9
24,http://dx.doi.org/10.13031/2013.25146
25,http://dx.doi.org/10.1016/j.agwat.2008.03.002
26,http://dx.doi.org/10.2134/agronj1992.00021962008400040006x
27,http://dx.doi.org/10.1614/02-150B
28,http://dx.doi.org/10.1094/CM-2006-0227-02-RV
29,http://dx.doi.org/10.1094/CM-2006-0227-05-RV
30,http://dx.doi.org/10.2134/agronj1993.00021962008500060014x
31,https://doi.org/10.1590/S0100-69162004000200010
32,https://doi.org/10.1016/B978-0-12-800132-5.00002-X
33,https://doi.org/10.1007/s13593-015-0338-6
34,https://doi.org/10.1016/S0378-3774(02)00125-7
35,https://doi.org/10.1016/j.agwat.2010.08.013
36,https://doi.org/10.18011/bioeng2016v10n3p305-315
37,https://doi.org/10.1590/1413-7054201943017819
38,https://doi.org/10.31018/jans.v10i1.1570
39,https://doi.org/10.5772/30182
40,https://doi.org/10.13083/reveng.v27i5.979
41,https://doi.org/10.5433/1679-0359.2016v37n1p7
42,https://doi.org/10.1590/1983-40632021v5166908
43,https://doi.org/10.36899/japs.2020.1.0018
44,https://doi.org/10.1590/0103-8478cr20200674
45,https://doi.org/10.21273/jashs.125.1.143
46,https://doi.org/10.21273/JASHS.106.3.307
47,https://doi.org/10.1371/journal.pone.0157089
48,https://doi.org/10.17660/ActaHortic.2004.664.18
49,https://doi.org/10.1038/s41598-020-59650-8
50,https://doi.org/10.1071/FP02180
51,https://doi.org/10.1051/fruits/2011038
52,https://doi.org/10.1007/s00271-012-0322-8
53,https://doi.org/10.1186/s40659-020-00325-z
54,https://doi.org/10.21273/jashs.128.3.0432
55,https://doi.org/10.17660/actahortic.2002.592.48
56,https://doi.org/10.1007/s00271-012-0372-y
57,https://doi.org/10.1007/s11356-021-15259-6
58,https://doi.org/10.1186/s42269-020-00413-w
59,https://doi.org/10.17509/ijost.v9i1.64032
60,https://doi.org/10.1051/fruits/2015023
61,https://doi.org/10.1007/s00271-022-00795-x
62,https://doi.org/10.1007/s00271-008-0136-x
63,https://doi.org/10.1038/s41598-021-90078-w
64,https://doi.org/10.5344/ajev.2019.18078
65,https://doi.org/10.1088/1755-1315/723/4/042003
66,https://doi.org/10.1088/1748-9326/abbfc3
67,https://doi.org/10.1007/s00271-012-0358-9
68,https://doi.org/10.1007/s44154-022-00050-5
69,https://doi.org/10.5194/essd-15-4803-2023
70,https://doi.org/10.3389/fpls.2018.01326
71,https://doi.org/10.17159/wsa/2020.v46.i4.9070
72,https://doi.org/10.7176/jnsr/12-4-01
73,https://doi.org/10.3389/fenvs.2022.1044886
74,https://doi.org/10.17159/wsa/2023.v49.i4.3935
75,https://doi.org/10.1007/BF00256811
76,https://doi.org/10.1007/s00271-010-0211-y
77,https://doi.org/10.21273/JASHS.130.6.943
78,https://doi.org/10.1038/s41598-019-40910-4
79,https://doi.org/10.3389/fpls.2017.01408
80,https://doi.org/10.1007/s00271-011-0286-0
81,https://doi.org/10.17660/ActaHortic.2002.592.48
82,https://doi.org/10.1007/s00271-019-00655-1
83,https://doi.org/10.1590/1519-6984.244331
84,https://doi.org/10.1016/B978-0-12-800137-0.00005-5
85,https://doi.org/10.1007/s00271-005-0005-9
86,https://doi.org/10.7176/JNSR/12-4-01
87,https://doi.org/10.21273/HORTSCI.30.4.846E
88,https://doi.org/10.1590/1678-992x-2018-0390
89,https://doi.org/10.1590/S1415-43662013000900003
90,https://doi.org/10.1590/S1413-70542009000700005
91,https://doi.org/10.1016/j.agwat.2022.107982
92,https://doi.org/10.1016/j.agwat.2024.108709
93,https://doi.org/10.3389/fpls.2023.1242074
94,https://doi.org/10.1038/s41598-021-97899-9
95,https://doi.org/10.1007/s11269-018-2087-1
96,https://doi.org/10.1007/s00271-020-00715-x
97,https://doi.org/10.1007/s00271-012-0378-5
98,https://doi.org/10.5539/jas.v4n1p71
99,https://doi.org/10.24017/science.2018.3.5
100,https://doi.org/10.1007/s11540-010-9179-5
101,https://doi.org/10.1371/journal.pone.0231831
102,https://doi.org/10.4236/jwarp.2016.83024
103,https://doi.org/10.1007/s10343-010-0222-x
104,http://dx.doi.org/10.5539/jas.v4n1p71
105,http://dx.doi.org/10.1093/jxb/erl131
106,http://dx.doi.org/10.1071/PP9740529
107,http://dx.doi.org/10.1007/BF02986910
108,https://doi.org/10.1071/AR9780897
109,https://doi.org/10.1007/s11540-014-9261-5
110,https://doi.org/10.21273/HORTSCI.33.4.655
111,https://doi.org/10.1590/S0100-69162013000100020
112,https://doi.org/10.1007/BF02986910
113,https://doi.org/10.3390/agronomy12040810
114,https://doi.org/10.3390/su151310204
115,https://doi.org/10.1016/j.heliyon.2023.e19762
116,https://doi.org/10.3390/agronomy11112256
117,https://doi.org/10.3390/w16172545
118,https://doi.org/10.3390/plants11131690
119,https://doi.org/10.1080/23311932.2023.2214428
120,https://doi.org/10.4148/2378-5977.1087
121,https://doi.org/10.1007/978-1-4419-6335-2
122,https://doi.org/10.1093/jxb/erl165
123,https://doi.org/10.29121/granthaalayah.v6.i8.2018.1262
124,https://doi.org/10.21273/HORTTECH04010-18
125,https://doi.org/10.21608/ejar.2018.132661
126,https://doi.org/10.21273/HORTTECH.15.3.0584
127,https://doi.org/10.5539/jas.v10n1p1
128,https://extension.okstate.edu/
129,https://doi.org/10.25675/10217/200990
130,https://doi.org/10.3390/agronomy12020278
131,https://doi.org/10.3390/agronomy12051020
132,https://doi.org/10.3390/w15122242
133,https://doi.org/10.3390/agriculture13101994
134,https://doi.org/10.3390/plants13243492
135,https://doi.org/10.3390/agronomy15051068
136,https://doi.org/10.3390/w16081095
137,https://doi.org/10.36632/mejar/2022.11.2.45
138,http://dx.doi.org/10.5281/zenodo.7790864
139,https://doi.org/10.1007/s10333-022-00911-9
140,https://doi.org/10.1007/s12355-021-01015-0
141,https://doi.org/10.54386/jam.v25i4.2269
142,https://doi.org/10.26855/ijfsa.2021.06.015
143,https://doi.org/10.1038/s41598-022-20652-3
144,https://doi.org/10.3389/fagro.2025.1496198
145,https://doi.org/10.2166/ws.2021.246
146,https://doi.org/10.13031/trans.14110
147,https://doi.org/10.21608/sjdr.2020.366016074
148,https://doi.org/10.3733/hilg.v54n01p001
149,https://doi.org/10.3390/plants13050640
150,https://doi.org/10.1016/j.agwat.2020.105906
151,https://doi.org/10.7717/peerj.12004
152,https://doi.org/10.3969/j.issn.1002-6819.2019.01.022
153,https://doi.org/10.1371/journal.pone.0165985
154,https://doi.org/10.1371/journal.pone.0154799
155,https://doi.org/10.1371/journal.pone.0142204
156,https://doi.org/10.3390/agronomy15071674
157,https://doi.org/10.1038/s41598-021-01433-w
158,https://doi.org/10.21273/hortsci14271-19
